inchikey	drugbank_id	pubchem_cid	bioavailability	bioavailability_evidence	bioavailability_source	clearance	clearance_evidence	clearance_source	half_life	half_life_evidence	half_life_source	volume_of_distribution	volume_of_distribution_evidence	volume_of_distribution_source	ld50	ld50_evidence	ld50_source	mutagenicity	mutagenicity_evidence	mutagenicity_source	fetch_date	source_version
PCZHWPSNPWAQNF-LMOVPXPDSA-K	DB08884		After intravenous administration, the plasma concentration-time profile of gadoxetate disodium is characterized by a biexponential decline.[L49926]	structured/high	drugbank_xml:DB08884#absorption	A total serum clearance (Cltot) was 250 mL/min, whereas the renal clearance (Clr) corresponds to about 120 mL/min, a value similar to the glomerular filtration rate in healthy subjects.	structured/high	drugbank_xml:DB08884#clearance	The mean terminal elimination half-life of gadoxetate disodium (0.01 to 0.1 mmol/kg) has been observed in healthy volunteers of 22–39 years of age to be 0.91 to 0.95 hours.[L49926]	structured/high	drugbank_xml:DB08884#half-life	The total volume of distribution at steady state of gadoxetate disodium is 0.21 L/kg.[L49926]	structured/high	drugbank_xml:DB08884#volume-of-distribution		none	none	mixed	inferred/low	drugbank_xml:DB08884#toxicity	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PCZOHLXUXFIOCF-BXMDZJJMSA-N	DB00227	144204439	Lovastatin Cmax was found to be 3.013ng/mL with a Tmax of 3.36 hours.[F4664] Plasma concentrations of total radioactivity (lovastatin plus 14C-metabolites) peaked at 2 hours and declined rapidly to about 10% of peak by 24 hours postdose.	structured/high	drugbank_xml:DB00227#absorption		none	none	Lovastatin half-life is reported to be of 13.37 hours.[F4664] The elimination half-life of the hydroxy acid form of lovastatin is reported to be of 0.7-3 hours.[A174583]	structured/high	drugbank_xml:DB00227#half-life	Lovastatin is able to cross the blood-brain barrier and placenta.[F4664]	structured/high	drugbank_xml:DB00227#volume-of-distribution	The median lethal dose of lovastatin is higher than 15 g/m2	text_mined/medium	drugbank_xml:DB00227#toxicity	positive	inferred/low	drugbank_xml:DB00227#toxicity	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDBWOHBMJQOBHL-WBADGQHESA-N	DB18953			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDCSQCHNOPNJMK-UHFFFAOYSA-N	DB08115			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDGKHKMBHVFCMG-UHFFFAOYSA-N	DB15442		Cmax and AUC of trilaciclib increase proportionally with dose.[A229328,L31828]	structured/high	drugbank_xml:DB15442#absorption	The clearance of trilaciclib is 158 L/h.[L31828]	structured/high	drugbank_xml:DB15442#clearance	The mean terminal half life of trilaciblib is approximately 14 h.[L31828]	structured/high	drugbank_xml:DB15442#half-life	The volume of distribution of trilaciclib at steady state is 1130 L.[L31828]	structured/high	drugbank_xml:DB15442#volume-of-distribution		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDGXJDXVGMHUIR-UJURSFKZSA-N	DB03675			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDJZASCRQRBYQS-UHFFFAOYSA-N	DB07010			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDKSTEKFCWNJFC-LXFBAYGMSA-N	DB21730			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDLAMJKMOKWLAJ-OJERQSHOSA-M	DB02144			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDMMFKSKQVNJMI-BLQWBTBKSA-N	DB01420	11112138	Testosterone propionate presents a slow absorption from the intramuscular site of administration.	structured/high	drugbank_xml:DB01420#absorption	Testosterone propionate has a reduced clearance rate compared to testosterone.[L1162] The reported clearance rate is of approximately 2000 ml/min.[A31625]	structured/high	drugbank_xml:DB01420#clearance	Testosterone propionate possesses a relatively short half-life compared with other testosterone esters at approximately 4.5 days.	structured/high	drugbank_xml:DB01420#half-life	The registered volume of distribution for testosterone propionate is in the range of 75-120 L/kg.[A31625]	structured/high	drugbank_xml:DB01420#volume-of-distribution		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDMUGYOXRHVNMO-UHFFFAOYSA-N	DB12848	103905666		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDMUULPVBYQBBK-GFCCVEGCSA-N	DB06842	11113488		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDNNUMNEXITLCZ-UHFFFAOYSA-N	DB05772			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDOCBJADCWMDGL-UHFFFAOYSA-N	DB21032	174007059		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDOQBOJDRPLBQU-QMMMGPOBSA-N	DB12588			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDRGHUMCVRDZLQ-WMZOPIPTSA-N	DB03515			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDSVTRQOBUIQBQ-UHFFFAOYSA-N	DB13840			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDTFCHSETJBPTR-UHFFFAOYSA-N	DB13388			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDUGAXSIWNMIBQ-HHHXNRCGSA-N	DB19328			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDUXMHXBBXXJFQ-UHFFFAOYSA-N	DB20749			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDWJALXSRRSUHR-LFYBBSHMSA-N	DB16932	24783356		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDWUPXJEEYOOTR-UHFFFAOYSA-N	DB06704	11111341	Iobenguane rapidly clears from the blood and is highly retained in adrenergic tissues.	structured/high	drugbank_xml:DB06704#absorption		none	none	Physical half life = 13.2 hours	structured/high	drugbank_xml:DB06704#half-life		none	none	Oral mouse: LD50 = 300 mg/kg	text_mined/medium	drugbank_xml:DB06704#toxicity		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDXNSXLPXJFETD-DYVQZXGMSA-N	DB15413		The mean Cmax of pafolacianine was 59.1 ± 5.94 ng/mL and AUCinf was 63.6 ± 12.6 ng x hr/mL.[L39332]	structured/high	drugbank_xml:DB15413#absorption	The mean plasma clearance is 28.6 ± 4.97 L/hr.[L39332]	structured/high	drugbank_xml:DB15413#clearance	The elimination half-life of pafolacianine is 0.44 ± 0.23 hours.[L39332]	structured/high	drugbank_xml:DB15413#half-life	The mean volume of distribution (Vz) is 17.1 ± 5.99 L, indicating distribution into tissues.[L39332] During intraoperative molecular imaging for surgically resectable pulmonary adenocarcinoma, pafolacianine accumulated in nearly 70% of squamous cell carcinomas.[A242577]	structured/high	drugbank_xml:DB15413#volume-of-distribution		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PDYOTUCJOLELJU-UHFFFAOYSA-N	DB13850	50125748		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PEASPLKKXBYDKL-FXEVSJAOSA-N	DB00109		After a 90 mg single subcutaneous injection of Enfuvirtide into the abdomen in 12 HIV-1 infected subjects, the mean peak concentration is 4.59+/-1.5 ug/ml and the median time to peak concentration was 8 hours (ranged from 3 to12 hours).	structured/high	drugbank_xml:DB00109#absorption	* 24.8 +/- 4.1 mL/h/kg [HIV-1 infected adult and pediatric subjects following a 90-mg single SC dose of enfuvirtide] * 30.6 +/- 10.6 mL/h/kg [Following 90-mg twice daily dosing of FUZEON SC in combination with other antiretroviral agents in HIV-1 infected subjects] * 40 +/- 17 mL/h/kg [pediatric patients in the presenc	structured/high	drugbank_xml:DB00109#clearance	3.8 +/- 0.6 hrs	structured/high	drugbank_xml:DB00109#half-life	* 5.5 ± 1.1 L	structured/high	drugbank_xml:DB00109#volume-of-distribution		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PECYZEOJVXMISF-REOHCLBHSA-O	DB03320			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PEDCQBHIVMGVHV-UHFFFAOYSA-N	DB09462	144204594	Well absorbed orally, poorly absorbed rectally.	structured/high	drugbank_xml:DB09462#absorption		none	none	30 - 45 minutes	structured/high	drugbank_xml:DB09462#half-life	Glycerin is distributed throughout the blood.	structured/high	drugbank_xml:DB09462#volume-of-distribution	Rat LD50 (oral)-12600mg/kg Mice LD50 (oral )-4090mg/kg Human TDLo (oral) - 1428mg/kg	text_mined/medium	drugbank_xml:DB09462#toxicity		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PEFGUPQPFCDBPY-UOWFLXDJSA-N	DB02298			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PEGMMEYCSOZKIT-UHFFFAOYSA-N	DB02104			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PEGQOIGYZLJMIB-UHFFFAOYSA-N	DB15447			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PEGXADGTBNRSGV-ZDUSSCGKSA-N	DB07194			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PEJLNXHANOHNSU-UHFFFAOYSA-N	DB13373			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PELPUMGXMYVGSQ-UHFFFAOYSA-N	DB03075			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PELZSPZCXGTUMR-RTPHHQFDSA-N	DB03158			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PEMUGDMSUDYLHU-ZEQRLZLVSA-N	DB15568		The administration of a high-fat and high-calorie meal (900-1000 calories, 50% from fat) did not have a clinically significant effect on the pharmacokinetics of adagrasib.[L44361] Adagrasib has high oral bioavailability and is able to penetrate the central nervous system.[A254941]	structured/high	drugbank_xml:DB15568#absorption	Adagrasib has an apparent oral clearance (CL/F) of 37 L/h.[L44361]	structured/high	drugbank_xml:DB15568#clearance	Adagrasib has a terminal elimination half-life of 23 hours.[L44361]	structured/high	drugbank_xml:DB15568#half-life	Adagrasib has an apparent volume of distribution of 942 L.[L44361]	structured/high	drugbank_xml:DB15568#volume-of-distribution		none	none	mixed	inferred/low	drugbank_xml:DB15568#toxicity	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
PENDGIOBPJLVBT-AMXFZXBBSA-N	DB06419		Cethromycin displays non-linear absorption kinetics.	structured/high	drugbank_xml:DB06419#absorption	Cethromycin clearance in patients receiving a once-daily oral dose of 300 mg is reported to be approximately 63 L/h.[A203414]	structured/high	drugbank_xml:DB06419#clearance	Cethromycin given in five oral doses of 150 or 300 mg has a plasma half-life of 4.85 ± 1.10 and 4.94 ± 0.66 hrs, respectively.[A203414] A single oral dose of 150 mg produced a measured half-life of 5.66 ± 0.77 hrs.[A203429]	structured/high	drugbank_xml:DB06419#half-life	Cethromycin given in five 150 mg oral doses had an apparent volume of distribution at the terminal elimination phase of 1433 ± 843 L, and an apparent steady-state volume of distribution of 1453 ± 997 L.	structured/high	drugbank_xml:DB06419#volume-of-distribution		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
