inchikey	chembl_id	drugbank_id	pubchem_cid	match_strategy	confidence	xref_source	fetch_date	source_version
AAADKYXUTOBAGS-XCBNKYQSSA-N		DB02851	1714210	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAAQFGUYHFJNHI-SFHVURJKSA-N	CHEMBL1232461	DB16239	174006338;174007117	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
AABLHGPVOULICI-BRJGLHKUSA-N	CHEMBL1951706	DB01512	5463858	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AACACXATQSKRQG-UHFFFAOYSA-L		DB11189	75487596;84645	drugbank_inchikey_seed;pubchem_direct_inchikey_multi_cid;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AACUJFVOHGRMTR-DPXNYUHVSA-N	CHEMBL4204869	DB15391	57827330	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AADCDMQTJNYOSS-LBPRGKRZSA-N	CHEMBL8946	DB15492	11112879;26755017	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
AADNQNOXNWEYHS-UHFFFAOYSA-N	CHEMBL2105240	DB12840	50137	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AADVCYNFEREWOS-OBRABYBLSA-N	CHEMBL364447	DB20588	643668	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAFJXZWCNVJTMK-GUCUJZIJSA-N	CHEMBL3137322	DB12873	15942827	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAJXINSCZMZERD-UHFFFAOYSA-N		DB08440	18719622	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAKJLRGGTJKAMG-UHFFFAOYSA-N	CHEMBL553	DB00530	103905339;124893165;124893166;144205755;170465434;26757996;85267493	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
AALSSIXXBDPENJ-FYWRMAATSA-N	CHEMBL578390	DB18786	6439397	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AANFHDFOMFRLLR-IBGZPJMESA-N		DB07294	445460	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AANFHDFOMFRLLR-LJQANCHMSA-N		DB07031	445455	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AANTYZRUJFNZFI-UHFFFAOYSA-N	CHEMBL66907	DB04549	446240	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AANXPIMDONQTQF-HNNXBMFYSA-N	CHEMBL202839	DB07121	6102708	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAOLGDRTKZMLIG-OUKQBFOZSA-N	CHEMBL2104473	DB20739	5705661	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAOVKJBEBIDNHE-UHFFFAOYSA-N	CHEMBL12	DB00829	124893574;144206622;144209656;170464626	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
AAQOQKQBGPPFNS-UHFFFAOYSA-N	CHEMBL1199080	DB01158	50113154;50113155	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
AAXVEMMRQDVLJB-BULBTXNYSA-N	CHEMBL1201388	DB00687	144206253;144206895;170464959;50125791	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
AAXYAFFKOSNMEB-MHARETSRSA-N		DB03931	135450902;444841;5288460	drugbank_inchikey_seed;pubchem_direct_inchikey_multi_cid;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABAPCYNTEPGBNJ-FTGAXOIBSA-N	CHEMBL5314944	DB19336	132155398	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABDDQTDRAHXHOC-QMMMGPOBSA-N	CHEMBL4650337	DB15665	89532783	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABEJDMOBAFLQNJ-NHCUHLMSSA-N	CHEMBL4297287	DB11650	9865375	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABFMMCZFKUIJGQ-UHFFFAOYSA-N	CHEMBL84775	DB21365	5491960	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABFNTRQPWNXUHA-NNIYEDDKSA-N	CHEMBL3989911	DB12777	134129863	backfill_stage1_name_exact_unique;pubchem_direct_inchikey_exact_unique	high	chembl_36.db;drug_master_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABJKIHHNDMEBNA-UHFFFAOYSA-N	CHEMBL2105215	DB20871	170466212	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CHEMBL990	DB01091	144205282;170465093;29215487	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ABLACSIRCKEUOB-UHFFFAOYSA-N	CHEMBL1320139	DB20233	104171405;144205306;170466395;29216366;50110015	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ABNXKGFLZFSILK-MOPGFXCFSA-N	CHEMBL87728	DB21212	216230	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABQHPGHMYXJJIV-MRVPVSSYSA-N		DB06998	24860533	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABQYZRZVRIPTPI-UHFFFAOYSA-N	CHEMBL339309	DB21294	37614	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABSDZQDZDHJMPX-UHFFFAOYSA-N	CHEMBL2106237	DB19589	16669	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABWLRVJYVVQTGQ-BJMVGYQFSA-N	CHEMBL224265	DB19740	170466536;26757914	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ABWSMPORYONAHZ-LTAUCOGHSA-N		DB02792	446082	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ABZCXQGJBVWZBD-UHFFFAOYSA-N	CHEMBL6068427	DB21676	71086762	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ACAKNPKRLPMONU-UHFFFAOYSA-N	CHEMBL1234574	DB08235	588963	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ACAXGYADTLFREX-CQSZACIVSA-N	CHEMBL162781	DB06517	9886593	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ACBSZTQIFTYFGH-IAPPQJPRSA-N	CHEMBL2105845	DB15651	135399823	drugbank_inchikey_seed;pubchem_direct_inchikey_multi_tiebreak_smiles;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ACBYRQONKZKIIY-GFCCVEGCSA-N	CHEMBL2104960	DB21116	11594630	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ACCFLVVUVBJNGT-AWEZNQCLSA-N	CHEMBL4297181	DB12167	57519748	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ACCMWZWAEFYUGZ-UHFFFAOYSA-N	CHEMBL1742423	DB11591	170466329	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ACEFOQMQINFMRW-DYCFVMESSA-N	CHEMBL220050	DB07278	9911502	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ACEWLPOYLGNNHV-UHFFFAOYSA-N	CHEMBL2106254	DB16887	170465895	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ACFHHZJOAUZSJU-XBXARRHUSA-N	CHEMBL1565322	DB20323	144205692;170466613;26757920	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ACFIXJIJDZMPPO-NNYOXOHSSA-N	CHEMBL407009	DB02338	5884	drugbank_inchikey_seed;pubchem_direct_inchikey_multi_tiebreak_smiles;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ACGBFWCBVIXTPZ-OQIWPSSASA-N	CHEMBL203631	DB08025	10364826	drugbank_inchikey_seed;pubchem_direct_smiles_fallback_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
ACGDKVXYNVEAGU-UHFFFAOYSA-N	CHEMBL765	DB01170	11112157	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ACGUYXCXAPNIKK-UHFFFAOYSA-N	CHEMBL496	DB00756	144204650;144208548;144213058;170464690;17389858;26747319;26747320;26752933;50105541;56422370;56436644;8139957;99234229	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ACLJAFRNPZVVIW-ADFGDECNSA-N	CHEMBL2103957	DB20418	103929	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
ACMBXVJDKVNCGH-UHFFFAOYSA-N		DB02404	446506	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
